Style Name,Style Number,Color Name,Color Code,Dropped from Catalog,Size,Alt Size,UPC,SKU,Currency,Wholesale Price,Retail Price,Retail Date,Quantity Requested,Quantity Available,Available Date,Brand,Category,Gender,Product Family,Seasonal Offering,End of life,Width,Color,New SKU
"Premium Knee Boot 16"" Black SM/ST",00101110,Black,001,No,6,,715474540975,715474540975,USD,81.0,154.95,2003-01-15,,10,2024-04-12,LACROSSE,Industrial,Men,Premium Knee Boot,No,,,Black,00101110-001-6
"Premium Knee Boot 16"" Black SM/ST",00101110,Black,001,No,7,,715474540982,715474540982,USD,81.0,154.95,2003-01-15,,19,2024-04-12,LACROSSE,Industrial,Men,Premium Knee Boot,No,,,Black,00101110-001-7
"Premium Knee Boot 16"" Black SM/ST",00101110,Black,001,No,8,,715474540999,715474540999,USD,81.0,154.95,2003-01-15,,0,2024-04-12,LACROSSE,Industrial,Men,Premium Knee Boot,No,,,Black,00101110-001-8
"Premium Knee Boot 16"" Black SM/ST",00101110,Black,001,No,9,,715474541002,715474541002,USD,81.0,154.95,2003-01-15,,99,2024-04-12,LACROSSE,Industrial,Men,Premium Knee Boot,No,,,Black,00101110-001-9
"Premium Knee Boot 16"" Black SM/ST",00101110,Black,001,No,10,,715474526122,715474526122,USD,81.0,154.95,2003-01-15,,99,2024-04-12,LACROSSE,Industrial,Men,Premium Knee Boot,No,,,Black,00101110-001-10
"Premium Knee Boot 16"" Black SM/ST",00101110,Black,001,No,11,,715474541019,715474541019,USD,81.0,154.95,2003-01-15,,99,2024-04-12,LACROSSE,Industrial,Men,Premium Knee Boot,No,,,Black,00101110-001-11
"Premium Knee Boot 16"" Black SM/ST",00101110,Black,001,No,12,,715474541026,715474541026,USD,81.0,154.95,2003-01-15,,0,2024-04-12,LACROSSE,Industrial,Men,Premium Knee Boot,No,,,Black,00101110-001-12
"Premium Knee Boot 16"" Black SM/ST",00101110,Black,001,No,13,,715474541033,715474541033,USD,81.0,154.95,2003-01-15,,64,2024-04-12,LACROSSE,Industrial,Men,Premium Knee Boot,No,,,Black,00101110-001-13
"Premium Knee Boot 16"" Black SM/ST",00101110,Black,001,No,14,,715474541040,715474541040,USD,81.0,154.95,2003-01-15,,44,2024-04-12,LACROSSE,Industrial,Men,Premium Knee Boot,No,,,Black,00101110-001-14
"Premium Knee Boot 16"" Black SM/ST",00101110,Black,001,No,15,,715474541057,715474541057,USD,81.0,154.95,2003-01-15,,19,2024-04-12,LACROSSE,Industrial,Men,Premium Knee Boot,No,,,Black,00101110-001-15
