Style Number,Color Code,Size,Alt Size
00101110,001,6,
00101110,001,7,
00101110,001,8,
00101110,001,9,
00101110,001,10,
00101110,001,11,
00101110,001,12,
00101110,001,13,
00101110,001,14,
00101110,001,15,
00109050,001,6,
00109050,001,7,
00109050,001,8,
00109050,001,9,
00109050,001,10,
00109050,001,11,
00109050,001,12,
00109050,001,13,
00109050,001,14,
00152030,001,6,
00152030,001,7,
00152030,001,8,
00152030,001,9,
00152030,001,10,
00152030,001,11,
00152030,001,12,
00152030,001,13,
00152030,001,14,
00223050,220,7,
00223050,220,8,
00223050,220,9,
00223050,220,10,
00223050,220,11,
00223050,220,12,
00223050,220,13,
00223050,220,14,
00223120,605,6,
00223120,605,7,
00223120,605,8,
00223120,605,9,
00223120,605,10,
00223120,605,11,
00223120,605,12,
00223120,605,13,
00223120,605,14,
00227050,220,7,
00227050,220,8,
00227050,220,9,
00227050,220,10,
00227050,220,11,
00227050,220,12,
00227050,220,13,
00227050,220,14,
00228040,001,7,
00228040,001,8,
00228040,001,9,
00228040,001,10,
00228040,001,11,
00228040,001,12,
00228040,001,13,
00228040,001,14,
00228050,001,7,
00228050,001,8,
00228050,001,9,
00228050,001,10,
00228050,001,11,
00228050,001,12,
00228050,001,13,
00228050,001,14,
00228050,001,15,
00228260,001,6,
00228260,001,7,
00228260,001,8,
00228260,001,9,
00228260,001,10,
00228260,001,11,
00228260,001,12,
00228260,001,13,
00228260,001,14,
00228260,001,15,
00228260,001,16,
00228265,001,7,
00228265,001,8,
00228265,001,9,
00228265,001,10,
00228265,001,11,
00228265,001,12,
00228265,001,13,
00228265,001,14,
00228265,001,15,
00267090,001,7,
00267090,001,8,
00267090,001,9,
00267090,001,10,
00267090,001,11,
00267090,001,12,
00267090,001,13,
00267090,001,14,
00267090,001,15,
00267090,001,16,
00267140,001,5,
00267140,001,6,
00267140,001,7,
00267140,001,8,
00267140,001,9,
00267140,001,10,
00267140,001,11,
00267140,001,12,
00267140,001,13,
00267140,001,14,
00267140,001,15,
00267140,001,16,
00267220,001,6,
00267220,001,7,
00267220,001,8,
00267220,001,9,
00267220,001,10,
00267220,001,11,
00267220,001,12,
00267220,001,13,
00267220,001,14,
00267220,001,15,
00300060,001,7,
00300060,001,8,
00300060,001,9,
00300060,001,10,
00300060,001,11,
00300060,001,12,
00300060,001,13,
00300060,001,14,
00300060,001,15,
00300060,001,16,
00426040,205,7,
00426040,205,8,
00426040,205,9,
00426040,205,10,
00426040,205,11,
00426040,205,12,
00426040,205,13,
00426040,205,14,
100030,001,7,
100030,001,8,
100030,001,9,
100030,001,10,
100030,001,11,
100030,001,12,
100030,001,13,
100030,001,14,
100030,001,15,
100030,001,16,
10600,220,7,D
10600,220,7.5,D
10600,220,8,D
10600,220,8.5,D
10600,220,9,D
10600,220,9.5,D
10600,220,10,D
10600,220,10.5,D
10600,220,11,D
10600,220,11.5,D
10600,220,12,D
10600,220,13,D
10600,220,14,D
10600,220,7,EE
10600,220,7.5,EE
10600,220,8,EE
10600,220,8.5,EE
10600,220,9,EE
10600,220,9.5,EE
10600,220,10,EE
10600,220,10.5,EE
10600,220,11,EE
10600,220,11.5,EE
10600,220,12,EE
10600,220,13,EE
11500,001,7,D
11500,001,7.5,D
11500,001,8,D
11500,001,8.5,D
11500,001,9,D
11500,001,9.5,D
11500,001,10,D
11500,001,10.5,D
11500,001,11,D
11500,001,11.5,D
11500,001,12,D
11500,001,13,D
11500,001,14,D
11500,001,15,D
11500,001,6,EE
11500,001,6.5,EE
11500,001,7,EE
11500,001,7.5,EE
11500,001,8,EE
11500,001,8.5,EE
11500,001,9,EE
11500,001,9.5,EE
11500,001,10,EE
11500,001,10.5,EE
11500,001,11,EE
11500,001,11.5,EE
11500,001,12,EE
11500,001,13,EE
11550,001,7,D
11550,001,7.5,D
11550,001,8,D
11550,001,8.5,D
11550,001,9,D
11550,001,9.5,D
11550,001,10,D
11550,001,10.5,D
11550,001,11,D
11550,001,11.5,D
11550,001,12,D
11550,001,13,D
11550,001,14,D
11550,001,6,EE
11550,001,6.5,EE
11550,001,7,EE
11550,001,7.5,EE
11550,001,8,EE
11550,001,8.5,EE
11550,001,9,EE
11550,001,9.5,EE
11550,001,10,EE
11550,001,10.5,EE
11550,001,11,EE
11550,001,11.5,EE
11550,001,12,EE
11550,001,13,EE
11700,001,7,D
11700,001,7.5,D
11700,001,8,D
11700,001,8.5,D
11700,001,9,D
11700,001,9.5,D
11700,001,10,D
11700,001,10.5,D
11700,001,11,D
11700,001,11.5,D
11700,001,12,D
11700,001,13,D
11700,001,14,D
11700,001,15,D
11700,001,6,EE
11700,001,6.5,EE
11700,001,7,EE
11700,001,7.5,EE
11700,001,8,EE
11700,001,8.5,EE
11700,001,9,EE
11700,001,9.5,EE
11700,001,10,EE
11700,001,10.5,EE
11700,001,11,EE
11700,001,11.5,EE
11700,001,12,EE
11700,001,13,EE
12310,001,7,D
12310,001,7.5,D
12310,001,8,D
12310,001,8.5,D
12310,001,9,D
12310,001,9.5,D
12310,001,10,D
12310,001,10.5,D
12310,001,11,D
12310,001,11.5,D
12310,001,12,D
12310,001,13,D
12310,001,14,D
12310,001,15,D
12310,001,16,D
12310,001,8,EE
12310,001,8.5,EE
12310,001,9,EE
12310,001,9.5,EE
12310,001,10,EE
12310,001,10.5,EE
12310,001,11,EE
12310,001,11.5,EE
12310,001,12,EE
12310,001,13,EE
12310,001,14,EE
12310,001,15,EE
12311,001,5,M
12311,001,5.5,M
12311,001,6,M
12311,001,6.5,M
12311,001,7,M
12311,001,7.5,M
12311,001,8,M
12311,001,8.5,M
12311,001,9,M
12311,001,9.5,M
12311,001,10,M
12311,001,11,M
12371,225,8,D
12371,225,8.5,D
12371,225,9,D
12371,225,9.5,D
12371,225,10,D
12371,225,10.5,D
12371,225,11,D
12371,225,11.5,D
12371,225,12,D
12371,225,13,D
12371,225,14,D
12371,225,9,EE
12371,225,9.5,EE
12371,225,10,EE
12371,225,10.5,EE
12371,225,11,EE
12371,225,11.5,EE
12371,225,12,EE
12371,225,13,EE
12372,001,8,D
12372,001,8.5,D
12372,001,9,D
12372,001,9.5,D
12372,001,10,D
12372,001,10.5,D
12372,001,11,D
12372,001,11.5,D
12372,001,12,D
12372,001,13,D
12372,001,14,D
12372,001,9,EE
12372,001,9.5,EE
12372,001,10,EE
12372,001,10.5,EE
12372,001,11,EE
12372,001,11.5,EE
12372,001,12,EE
12372,001,13,EE
12373,445,5,M
12373,445,5.5,M
12373,445,6,M
12373,445,6.5,M
12373,445,7,M
12373,445,7.5,M
12373,445,8,M
12373,445,8.5,M
12373,445,9,M
12373,445,9.5,M
12373,445,10,M
12373,445,11,M
12374,001,5,M
12374,001,5.5,M
12374,001,6,M
12374,001,6.5,M
12374,001,7,M
12374,001,7.5,M
12374,001,8,M
12374,001,8.5,M
12374,001,9,M
12374,001,9.5,M
12374,001,10,M
12374,001,11,M
12376,025,8,D
12376,025,8.5,D
12376,025,9,D
12376,025,9.5,D
12376,025,10,D
12376,025,10.5,D
12376,025,11,D
12376,025,11.5,D
12376,025,12,D
12376,025,13,D
12376,025,14,D
12376,025,9,EE
12376,025,9.5,EE
12376,025,10,EE
12376,025,10.5,EE
12376,025,11,EE
12376,025,11.5,EE
12376,025,12,EE
12376,025,13,EE
12377,025,5,M
12377,025,5.5,M
12377,025,6,M
12377,025,6.5,M
12377,025,7,M
12377,025,7.5,M
12377,025,8,M
12377,025,8.5,M
12377,025,9,M
12377,025,9.5,M
12377,025,10,M
12377,025,11,M
12400,205,7,D
12400,205,7.5,D
12400,205,8,D
12400,205,8.5,D
12400,205,9,D
12400,205,9.5,D
12400,205,10,D
12400,205,10.5,D
12400,205,11,D
12400,205,11.5,D
12400,205,12,D
12400,205,13,D
12400,205,14,D
12400,205,8,EE
12400,205,8.5,EE
12400,205,9,EE
12400,205,9.5,EE
12400,205,10,EE
12400,205,10.5,EE
12400,205,11,EE
12400,205,11.5,EE
12400,205,12,EE
12400,205,13,EE
12400,205,14,EE
12401,001,7,D
12401,001,7.5,D
12401,001,8,D
12401,001,8.5,D
12401,001,9,D
12401,001,9.5,D
12401,001,10,D
12401,001,10.5,D
12401,001,11,D
12401,001,11.5,D
12401,001,12,D
12401,001,13,D
12401,001,14,D
12401,001,8,EE
12401,001,8.5,EE
12401,001,9,EE
12401,001,9.5,EE
12401,001,10,EE
12401,001,10.5,EE
12401,001,11,EE
12401,001,11.5,EE
12401,001,12,EE
12401,001,13,EE
12401,001,14,EE
12402,001,5,M
12402,001,5.5,M
12402,001,6,M
12402,001,6.5,M
12402,001,7,M
12402,001,7.5,M
12402,001,8,M
12402,001,8.5,M
12402,001,9,M
12402,001,9.5,M
12402,001,10,M
12402,001,11,M
12403,275,5,M
12403,275,5.5,M
12403,275,6,M
12403,275,6.5,M
12403,275,7,M
12403,275,7.5,M
12403,275,8,M
12403,275,8.5,M
12403,275,9,M
12403,275,9.5,M
12403,275,10,M
12403,275,11,M
12433,205,7,D
12433,205,7.5,D
12433,205,8,D
12433,205,8.5,D
12433,205,9,D
12433,205,9.5,D
12433,205,10,D
12433,205,10.5,D
12433,205,11,D
12433,205,11.5,D
12433,205,12,D
12433,205,13,D
12433,205,14,D
12433,205,15,D
12433,205,16,D
12433,205,8,EE
12433,205,8.5,EE
12433,205,9,EE
12433,205,9.5,EE
12433,205,10,EE
12433,205,10.5,EE
12433,205,11,EE
12433,205,11.5,EE
12433,205,12,EE
12433,205,13,EE
12433,205,14,EE
12433,205,15,EE
12435,205,7,D
12435,205,7.5,D
12435,205,8,D
12435,205,8.5,D
12435,205,9,D
12435,205,9.5,D
12435,205,10,D
12435,205,10.5,D
12435,205,11,D
12435,205,11.5,D
12435,205,12,D
12435,205,13,D
12435,205,14,D
12435,205,15,D
12435,205,16,D
12435,205,8,EE
12435,205,8.5,EE
12435,205,9,EE
12435,205,9.5,EE
12435,205,10,EE
